# Train        Test        
   19.102435    17.068338 
   15.663456    14.400345 
   14.641036    14.488114 
   13.497584    11.648430 
   13.491498    13.857515 
   12.527670    12.587944 
   12.707026    12.078526 
   11.949423    11.665455 
   12.174069    12.011136 
   11.608872    12.830185 
   11.660284    12.369249 
   11.451262    11.474146 
   11.225652    12.428104 
   11.281368    10.310194 
   10.862695    10.931131 
   11.151473    10.899378 
   10.628553     9.553717 
   10.995787    11.427834 
   10.456230    10.730051 
   10.821005    11.248062 
   10.359836    11.098010 
   10.538934    11.120551 
   10.277594    10.147303 
   10.284144    10.187828 
   10.233584    10.774788 
   10.064138     9.690771 
   10.265690    10.825266 
    9.851343    10.069387 
   10.148158    11.384520 
    9.704506     9.837650 
   10.103158     9.264669 
    9.634515     8.924089 
    9.942633    10.293900 
    9.659208     8.893252 
    9.748925    11.285871 
    9.624746     9.036957 
    9.676423    10.555053 
    9.647713    10.585175 
    9.447917    10.308041 
    9.675446     9.008907 
    9.358125     9.158198 
    9.605860     9.847672 
    9.200383     8.673586 
    9.534284     9.992346 
    9.168387     9.346725 
    9.406633     9.320833 
    9.188802     8.932515 
    9.308446    11.044940 
    9.232546     9.631226 
    9.143109    10.679193 
    9.229318     9.157907 
    9.050240     9.988691 
    9.269797     8.928637 
    8.891709     9.202808 
    9.204443     9.296618 
    8.859976     8.387192 
    9.133071     9.430242 
    8.820456     8.704897 
    9.064832     8.386095 
    8.840453     8.746128 
    8.936915     9.075481 
    8.890403     9.147997 
    8.806143     9.735652 
    8.967895     8.626708 
    8.710322     8.731238 
    8.936974     8.938902 
    8.582338     9.695601 
    8.913383     7.972919 
    8.557510     8.623554 
    8.849348     8.594839 
    8.574204     8.618698 
    8.707721     8.326656 
    8.558256     7.988663 
    8.567499     7.907558 
    8.625444     8.656017 
    8.459048     8.878012 
    8.653846     7.587937 
    8.361365     9.722582 
    8.652948     8.936733 
    8.276679     8.336317 
    8.587856    10.025635 
    8.296786     8.200357 
    8.525689     9.212288 
    8.280482     8.644503 
    8.399179     8.113194 
    8.325490     7.892411 
    8.273692     8.092090 
    8.341695     8.987955 
    8.148007     8.718817 
    8.384201     8.628544 
    8.038970     8.415886 
    8.386757     9.297046 
    8.001952     8.053196 
    8.318450     8.369980 
    8.019261     8.003531 
    8.240975     8.183370 
    8.026631     7.688420 
    8.139969     8.716356 
    8.115483     8.387304 
    8.019431     8.199192 
    8.106966     7.503402 
    7.908218     7.714422 
    8.187783     7.871866 
    7.835807     7.934848 
    8.162836     7.707082 
    7.781015     7.892554 
    8.055457     8.623837 
    7.809159     8.032125 
    8.011622     7.947677 
    7.837849     7.627938 
    7.861685     7.849658 
    7.904419     8.027821 
    7.762839     8.553368 
    7.941576     7.366391 
    7.654503     7.719733 
    7.982799     7.502311 
    7.584145     7.699213 
    7.939954     7.648602 
    7.589196     7.249622 
    7.862066     8.498948 
    7.630018     8.239515 
    7.781628     8.298377 
    7.634231     7.215744 
    7.681421     7.763336 
    7.722729     7.302770 
    7.550378     8.098119 
    7.764831     7.711788 
    7.462269     7.390790 
    7.754556     7.353153 
    7.374966     8.226329 
    7.737283     8.116223 
    7.398180     7.816103 
    7.638328     7.582972 
    7.440126     7.301553 
    7.564257     7.482232 
    7.512721     7.020702 
    7.428152     7.067783 
    7.543003     7.087037 
    7.349731     7.360488 
    7.597448     7.146895 
    7.246552     7.790920 
    7.593235     7.341574 
    7.257862     7.531714 
    7.547959     7.094622 
    7.267167     7.164862 
    7.479809     7.362859 
    7.300708     6.847309 
    7.405250     7.731380 
    7.344990     7.119462 
    7.262870     7.492913 
    7.397528     7.106369 
    7.174201     6.862216 
    7.450311     7.139775 
    7.122170     7.272474 
    7.432887     7.950888 
    7.091689     7.749576 
    7.380880     7.677152 
    7.124985     7.701047 
    7.343635     7.524674 
    7.163274     7.305595 
    7.192402     7.269546 
    7.233745     7.307732 
    7.091083     7.019506 
    7.322583     7.371512 
    7.029124     7.456574 
    7.358890     7.453573 
    6.979661     7.009783 
    7.284281     6.943881 
    6.996633     7.207402 
    7.252610     7.607386 
    7.011576     7.005733 
    7.156899     7.291866 
    7.066270     6.653501 
    7.068296     7.277489 
    7.137533     7.116306 
    6.991353     6.963142 
    7.189985     6.892385 
    6.898550     7.144730 
    7.216009     7.093546 
    6.887927     7.097855 
    7.189729     7.413803 
    6.871358     6.977186 
    7.155713     7.240077 
    6.930069     7.987395 
    7.085353     7.221161 
    6.987506     7.261820 
    6.922902     7.326149 
    7.012191     7.199875 
    6.826598     8.096264 
    7.101980     6.539433 
    6.799071     7.103531 
    7.082200     7.187434 
    6.781111     6.841506 
    7.065941     6.783587 
    6.792937     6.834604 
    6.991702     6.926246 
    6.869048     6.588857 
    6.948232     7.645143 
    6.923795     6.626990 
    6.834518     6.943030 
