# Train        Test        
    0.060402     0.093626 
    0.226054     0.222601 
    0.308110     0.241314 
    0.366860     0.208168 
    0.340193     0.339988 
    0.299272     0.205968 
    0.299798     0.177855 
    0.302081     0.105572 
    0.329494     0.249931 
    0.442221     0.260324 
    0.448211     0.269107 
    0.435435     0.299602 
    0.417888     0.292205 
    0.382985     0.187227 
    0.441007     0.240636 
    0.451020     0.277305 
    0.443088     0.258921 
    0.545583     0.389082 
    0.573701     0.258044 
    0.461708     0.278092 
    0.449728     0.232542 
    0.500241     0.295872 
    0.531436     0.243440 
    0.556562     0.240853 
    0.577907     0.267590 
    0.569405     0.300902 
    0.562856     0.250468 
    0.491591     0.346864 
    0.561341     0.321817 
    0.542542     0.201567 
    0.602091     0.257732 
    0.593484     0.293450 
    0.572811     0.302296 
    0.544710     0.204539 
    0.556115     0.281723 
    0.546203     0.276876 
    0.568768     0.256366 
    0.569406     0.246432 
    0.655020     0.311732 
    0.610022     0.255309 
    0.537810     0.240409 
    0.560780     0.287047 
    0.506605     0.254236 
    0.579644     0.331613 
    0.650853     0.309923 
    0.643775     0.253075 
    0.608324     0.282600 
    0.568349     0.249741 
    0.577237     0.293092 
    0.541437     0.310541 
    0.550018     0.237184 
    0.645525     0.209012 
    0.592888     0.320692 
    0.589592     0.327246 
    0.600017     0.198761 
    0.567248     0.268676 
    0.572162     0.230177 
    0.586189     0.266350 
    0.638351     0.266423 
    0.641950     0.264322 
    0.625322     0.242918 
    0.589575     0.285057 
    0.576529     0.323739 
    0.568274     0.246634 
    0.596568     0.284662 
    0.631873     0.267012 
    0.636057     0.215574 
    0.601469     0.215673 
    0.649317     0.199007 
    0.615275     0.328551 
    0.590612     0.242595 
    0.590776     0.256222 
    0.624401     0.268401 
    0.669355     0.218345 
    0.627616     0.289984 
    0.597792     0.247378 
    0.510206     0.262368 
    0.627764     0.255815 
    0.638244     0.282325 
    0.605108     0.274914 
    0.630980     0.468907 
    0.610524     0.358839 
    0.600621     0.271933 
    0.605869     0.174773 
    0.550418     0.317636 
    0.611979     0.294935 
    0.596630     0.283729 
    0.637014     0.233335 
    0.593956     0.300747 
    0.581440     0.249739 
    0.593351     0.286707 
    0.604949     0.224101 
    0.616080     0.251686 
    0.649250     0.273996 
    0.658848     0.310356 
    0.637144     0.314264 
    0.606363     0.187490 
    0.604237     0.308070 
    0.628957     0.337095 
    0.642345     0.309129 
    0.680968     0.297044 
